Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User - Minta Dukungan,Chrome 83.0.4103.97,,,2020-06-15 11:34:22,2020-06-15 11:37:27,"3m - 5,061s",FAILED
,,,,,,,
Test Cases/Denna/User - Minta Dukungan,Chrome 83.0.4103.97,,,2020-06-15 11:34:23,2020-06-15 11:36:05,"1m - 42,260s",PASSED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-15 11:34:24,2020-06-15 11:35:42,"1m - 17,320s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Minta Dukungan/profile""))",Chrome 83.0.4103.97,,,2020-06-15 11:35:42,2020-06-15 11:35:52,"10,020s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnMintaDukungan_v2""))",Chrome 83.0.4103.97,,,2020-06-15 11:35:52,2020-06-15 11:35:54,"2,117s",PASSED
"setText(findTestObject(""Denna/User - Minta Dukungan/fieldMasukan_v2""), issue)",Chrome 83.0.4103.97,,,2020-06-15 11:35:54,2020-06-15 11:36:02,"8,130s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnKirim_v2""))",Chrome 83.0.4103.97,,,2020-06-15 11:36:02,2020-06-15 11:36:03,"0,977s",PASSED
"if (keterangan == ""emptyIssue"")",Chrome 83.0.4103.97,,,2020-06-15 11:36:03,2020-06-15 11:36:04,"0,741s",PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-15 11:36:04,2020-06-15 11:36:05,"1,499s",PASSED
,,,,,,,
Test Cases/Denna/User - Minta Dukungan,Chrome 83.0.4103.97,,,2020-06-15 11:36:05,2020-06-15 11:37:27,"1m - 21,785s",FAILED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-15 11:36:05,2020-06-15 11:37:27,"1m - 21,697s",FAILED
