Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Admin - Manage Modules,Chrome 81.0.4044.138,,,2020-05-27 12:50:02,2020-05-27 12:51:33,"1m - 31,397s",FAILED
,,,,,,,
Test Cases/Rizka/Admin/Manage Modules/Admin - Manage Modules - Next Page,Chrome 81.0.4044.138,,,2020-05-27 12:50:02,2020-05-27 12:51:33,"1m - 30,571s",FAILED
"callTestCase(findTestCase(""Rizka/Admin/AdminMainLogin""), [:], STOP_ON_FAILURE)",Chrome 81.0.4044.138,,,2020-05-27 12:50:04,2020-05-27 12:51:33,"1m - 29,303s",FAILED
