Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User - Minta Dukungan,Chrome 83.0.4103.97,,,2020-06-15 11:19:13,2020-06-15 11:23:19,"4m - 5,794s",FAILED
,,,,,,,
Test Cases/Denna/User - Minta Dukungan,Chrome 83.0.4103.97,,,2020-06-15 11:19:16,2020-06-15 11:21:03,"1m - 46,933s",PASSED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-15 11:19:18,2020-06-15 11:20:38,"1m - 20,450s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Minta Dukungan/profile""))",Chrome 83.0.4103.97,,,2020-06-15 11:20:38,2020-06-15 11:20:50,"12,003s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnMintaDukungan_v2""))",Chrome 83.0.4103.97,,,2020-06-15 11:20:50,2020-06-15 11:20:54,"4,027s",PASSED
"setText(findTestObject(""Denna/User - Minta Dukungan/fieldMasukan_v2""), issue)",Chrome 83.0.4103.97,,,2020-06-15 11:20:54,2020-06-15 11:21:00,"5,818s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnKirim_v2""))",Chrome 83.0.4103.97,,,2020-06-15 11:21:00,2020-06-15 11:21:01,"0,600s",PASSED
"if (keterangan == ""emptyIssue"")",Chrome 83.0.4103.97,,,2020-06-15 11:21:01,2020-06-15 11:21:01,"0,544s",PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-15 11:21:01,2020-06-15 11:21:03,"1,229s",PASSED
,,,,,,,
Test Cases/Denna/User - Minta Dukungan,Chrome 83.0.4103.97,,,2020-06-15 11:21:03,2020-06-15 11:23:19,"2m - 16,529s",FAILED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-15 11:21:03,2020-06-15 11:22:22,"1m - 19,292s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Minta Dukungan/profile""))",Chrome 83.0.4103.97,,,2020-06-15 11:22:22,2020-06-15 11:22:23,"0,883s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnMintaDukungan_v2""))",Chrome 83.0.4103.97,,,2020-06-15 11:22:23,2020-06-15 11:22:25,"2,450s",PASSED
"setText(findTestObject(""Denna/User - Minta Dukungan/fieldMasukan_v2""), issue)",Chrome 83.0.4103.97,,,2020-06-15 11:22:25,2020-06-15 11:22:32,"6,070s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnKirim_v2""))",Chrome 83.0.4103.97,,,2020-06-15 11:22:32,2020-06-15 11:22:32,"0,663s",PASSED
"if (keterangan == ""emptyIssue"")",Chrome 83.0.4103.97,,,2020-06-15 11:22:32,2020-06-15 11:22:32,"0,001s",PASSED
else,Chrome 83.0.4103.97,,,2020-06-15 11:22:32,2020-06-15 11:23:19,"46,906s",FAILED
