Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User - Minta Dukungan,Chrome 83.0.4103.97,,,2020-06-15 12:07:03,2020-06-15 12:09:28,"2m - 25,162s",PASSED
,,,,,,,
Test Cases/Denna/User - Minta Dukungan,Chrome 83.0.4103.97,,,2020-06-15 12:07:04,2020-06-15 12:08:19,"1m - 15,127s",PASSED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-15 12:07:05,2020-06-15 12:07:59,"54,181s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Minta Dukungan/profile""))",Chrome 83.0.4103.97,,,2020-06-15 12:07:59,2020-06-15 12:08:11,"11,806s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnMintaDukungan_v2""))",Chrome 83.0.4103.97,,,2020-06-15 12:08:11,2020-06-15 12:08:13,"2,060s",PASSED
"setText(findTestObject(""Denna/User - Minta Dukungan/fieldMasukan_v2""), issue)",Chrome 83.0.4103.97,,,2020-06-15 12:08:13,2020-06-15 12:08:16,"3,803s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnKirim_v2""))",Chrome 83.0.4103.97,,,2020-06-15 12:08:16,2020-06-15 12:08:17,"0,485s",PASSED
"if (keterangan == ""emptyIssue"")",Chrome 83.0.4103.97,,,2020-06-15 12:08:17,2020-06-15 12:08:17,"0,482s",PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-15 12:08:17,2020-06-15 12:08:19,"1,220s",PASSED
,,,,,,,
Test Cases/Denna/User - Minta Dukungan,Chrome 83.0.4103.97,,,2020-06-15 12:08:19,2020-06-15 12:09:28,"1m - 9,106s",PASSED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-15 12:08:19,2020-06-15 12:09:03,"44,387s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Minta Dukungan/profile""))",Chrome 83.0.4103.97,,,2020-06-15 12:09:03,2020-06-15 12:09:16,"13,010s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnMintaDukungan_v2""))",Chrome 83.0.4103.97,,,2020-06-15 12:09:16,2020-06-15 12:09:18,"2,077s",PASSED
"setText(findTestObject(""Denna/User - Minta Dukungan/fieldMasukan_v2""), issue)",Chrome 83.0.4103.97,,,2020-06-15 12:09:18,2020-06-15 12:09:23,"4,397s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnKirim_v2""))",Chrome 83.0.4103.97,,,2020-06-15 12:09:23,2020-06-15 12:09:23,"0,460s",PASSED
"if (keterangan == ""emptyIssue"")",Chrome 83.0.4103.97,,,2020-06-15 12:09:23,2020-06-15 12:09:23,"0,001s",PASSED
else,Chrome 83.0.4103.97,,,2020-06-15 12:09:23,2020-06-15 12:09:27,"3,364s",PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-15 12:09:27,2020-06-15 12:09:28,"1,326s",PASSED
