Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Admin - Manage Modules,Chrome 81.0.4044.138,,,2020-05-27 12:52:01,2020-05-27 12:52:13,"12,362s",FAILED
,,,,,,,
Test Cases/Rizka/Admin/Manage Modules/Admin - Manage Modules - Next Page,Chrome 81.0.4044.138,,,2020-05-27 12:52:02,2020-05-27 12:52:13,"11,445s",FAILED
"callTestCase(findTestCase(""Rizka/Admin/AdminMainLogin""), [:], STOP_ON_FAILURE)",Chrome 81.0.4044.138,,,2020-05-27 12:52:03,2020-05-27 12:52:13,"10,037s",FAILED
