Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User - Minta Dukungan,Chrome 83.0.4103.97,,,2020-06-15 11:53:58,2020-06-15 11:56:45,"2m - 46,737s",PASSED
,,,,,,,
Test Cases/Denna/User - Minta Dukungan,Chrome 83.0.4103.97,,,2020-06-15 11:53:59,2020-06-15 11:55:24,"1m - 24,809s",PASSED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-15 11:54:01,2020-06-15 11:55:04,"1m - 2,775s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Minta Dukungan/profile""))",Chrome 83.0.4103.97,,,2020-06-15 11:55:04,2020-06-15 11:55:14,"10,799s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnMintaDukungan_v2""))",Chrome 83.0.4103.97,,,2020-06-15 11:55:14,2020-06-15 11:55:17,"2,231s",PASSED
"setText(findTestObject(""Denna/User - Minta Dukungan/fieldMasukan_v2""), issue)",Chrome 83.0.4103.97,,,2020-06-15 11:55:17,2020-06-15 11:55:22,"5,317s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnKirim_v2""))",Chrome 83.0.4103.97,,,2020-06-15 11:55:22,2020-06-15 11:55:22,"0,456s",PASSED
"if (keterangan == ""emptyIssue"")",Chrome 83.0.4103.97,,,2020-06-15 11:55:22,2020-06-15 11:55:23,"0,553s",PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-15 11:55:23,2020-06-15 11:55:24,"1,100s",PASSED
,,,,,,,
Test Cases/Denna/User - Minta Dukungan,Chrome 83.0.4103.97,,,2020-06-15 11:55:24,2020-06-15 11:56:45,"1m - 20,698s",PASSED
"callTestCase(findTestCase(""Denna/Login(User)""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-15 11:55:24,2020-06-15 11:56:22,"57,743s",PASSED
"click(findTestObject(""Object Repository/Denna/User - Minta Dukungan/profile""))",Chrome 83.0.4103.97,,,2020-06-15 11:56:22,2020-06-15 11:56:33,"11,289s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnMintaDukungan_v2""))",Chrome 83.0.4103.97,,,2020-06-15 11:56:33,2020-06-15 11:56:35,"2,039s",PASSED
"setText(findTestObject(""Denna/User - Minta Dukungan/fieldMasukan_v2""), issue)",Chrome 83.0.4103.97,,,2020-06-15 11:56:35,2020-06-15 11:56:40,"4,356s",PASSED
"click(findTestObject(""Denna/User - Minta Dukungan/btnKirim_v2""))",Chrome 83.0.4103.97,,,2020-06-15 11:56:40,2020-06-15 11:56:40,"0,586s",PASSED
"if (keterangan == ""emptyIssue"")",Chrome 83.0.4103.97,,,2020-06-15 11:56:40,2020-06-15 11:56:40,"0,001s",PASSED
else,Chrome 83.0.4103.97,,,2020-06-15 11:56:40,2020-06-15 11:56:43,"3,227s",PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-15 11:56:43,2020-06-15 11:56:45,"1,397s",PASSED
