Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Admin - Manage Modules,Chrome 83.0.4103.97,,,2020-06-18 15:37:00,2020-06-18 15:38:44,"1m - 44,343s",FAILED
,,,,,,,
Test Cases/Rizka/Admin/Manage Modules/Admin - Manage Modules - Next Page,Chrome 83.0.4103.97,,,2020-06-18 15:37:01,2020-06-18 15:38:44,"1m - 43,339s",FAILED
"callTestCase(findTestCase(""Rizka/Admin/AdminMainLogin""), [:], STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-18 15:37:02,2020-06-18 15:38:12,"1m - 10,032s",PASSED
"click(findTestObject(""Rizka/Admin/Admin - Manage Modules - Search/button_Modules""))",Chrome 83.0.4103.97,,,2020-06-18 15:38:12,2020-06-18 15:38:44,"31,638s",FAILED
